segment_id,trend,start_date,end_date,days,return,divergence_days_in_trend,divergence_ratio_in_trend,divergence_days_before_end,divergence_ratio_before_end
1,down_trend,2023-07-21,2023-09-27,49,-0.3425342392184682,9,0.1875,8,0.5714285714285714
2,up_trend,2023-09-27,2023-10-13,7,0.1336701593837179,0,0.0,0,0.0
3,down_trend,2023-10-13,2023-12-05,38,-0.4267785940876712,14,0.3684210526315789,10,0.6666666666666666
4,up_trend,2023-12-12,2024-01-02,15,0.1437943686518774,1,0.07142857142857142,1,0.07692307692307693
5,down_trend,2024-01-02,2024-02-20,30,-0.1357160943905404,3,0.10344827586206896,3,0.375
6,up_trend,2024-02-20,2024-03-12,16,0.2882424983771574,3,0.2,3,0.21428571428571427
7,down_trend,2024-03-12,2024-03-29,14,-0.10438371323683,0,0.0,0,0.0
8,up_trend,2024-03-29,2024-04-29,20,0.0824565485421232,0,0.0,0,0.0
9,down_trend,2024-04-29,2024-08-15,75,-0.3696884011987889,23,0.3108108108108108,9,0.6428571428571429
10,up_trend,2024-08-15,2024-08-30,12,0.0897463977764733,0,0.0,0,0.0
11,down_trend,2024-08-30,2024-09-05,5,-0.1008202824121812,0,0.0,0,0.0
12,up_trend,2024-09-05,2024-09-30,16,0.1328345341552293,0,0.0,0,0.0
13,down_trend,2024-09-30,2024-10-17,9,-0.1232030855106307,0,0.0,0,0.0
14,up_trend,2024-10-17,2024-11-13,20,0.2119133456127686,1,0.05263157894736842,1,0.07142857142857142
15,down_trend,2024-11-13,2025-06-20,146,-0.314955721411725,24,0.16551724137931034,0,0.0
16,up_trend,2025-06-20,2025-07-25,26,0.347089749436465,8,0.32,5,0.35714285714285715
17,down_trend,2025-07-25,2025-08-05,8,-0.1452734834804954,0,0.0,0,0.0
18,up_trend,2025-08-05,2025-08-18,10,0.3081726112478464,5,0.5555555555555556,5,0.5555555555555556
19,down_trend,2025-08-18,2025-09-10,18,-0.2040031419237747,0,0.0,0,0.0
20,up_trend,2025-09-10,2025-11-19,45,0.4088685442043029,9,0.2,2,0.13333333333333333
21,up_trend,2025-11-24,2025-12-26,25,0.4296036811786308,7,0.28,7,0.4666666666666667
22,up_trend,2025-12-29,2026-01-13,10,0.4029295685215828,5,0.5,5,0.5
23,up_trend,2026-01-16,2026-01-23,6,0.2409454045723956,2,0.3333333333333333,2,0.3333333333333333
24,down_trend,2026-01-27,2026-02-02,5,-0.2580259777494678,0,0.0,0,0.0
25,up_trend,2026-02-05,2026-02-27,11,0.3263552444063862,0,0.0,0,0.0
26,down_trend,2026-02-27,2026-03-19,15,-0.1914665564583398,0,0.0,0,0.0
27,up_trend,2026-03-19,2026-03-30,8,0.2077256723338416,0,0.0,0,0.0
28,down_trend,2026-03-30,2026-04-09,8,-0.110888270568787,0,0.0,0,0.0
29,up_trend,2026-04-09,2026-04-20,8,0.1713033157061574,3,0.375,3,0.375
