segment_id,trend,start_date,end_date,days,return,high_spec_days_in_trend,high_spec_ratio_in_trend,high_spec_days_before_end,high_spec_ratio_before_end,max_rank_before_end
1,down_trend,2023-07-21,2023-09-27,49,-0.3425342392184682,5,0.10416666666666667,5,0.35714285714285715,1.0
2,up_trend,2023-09-27,2023-10-13,7,0.1336701593837179,1,0.16666666666666666,1,0.16666666666666666,1.0
3,down_trend,2023-10-13,2023-12-05,38,-0.4267785940876712,10,0.2631578947368421,6,0.4,1.0
4,up_trend,2023-12-12,2024-01-02,15,0.1437943686518774,1,0.07142857142857142,1,0.07692307692307693,0.9047619047619048
5,down_trend,2024-01-02,2024-02-20,30,-0.1357160943905404,0,0.0,0,0.0,0.8571428571428571
6,up_trend,2024-02-20,2024-03-12,16,0.2882424983771574,10,0.6666666666666666,10,0.7142857142857143,1.0
7,down_trend,2024-03-12,2024-03-29,14,-0.10438371323683,0,0.0,0,0.0,0.7619047619047619
8,up_trend,2024-03-29,2024-04-29,20,0.0824565485421232,0,0.0,0,0.0,0.6666666666666666
9,down_trend,2024-04-29,2024-08-15,75,-0.3696884011987889,15,0.20270270270270271,4,0.2857142857142857,0.9523809523809523
10,up_trend,2024-08-15,2024-08-30,12,0.0897463977764733,4,0.36363636363636365,4,0.36363636363636365,1.0
11,down_trend,2024-08-30,2024-09-05,5,-0.1008202824121812,2,0.5,2,0.5,0.9523809523809523
12,up_trend,2024-09-05,2024-09-30,16,0.1328345341552293,3,0.2,3,0.25,1.0
13,down_trend,2024-09-30,2024-10-17,9,-0.1232030855106307,2,0.25,2,0.25,0.9523809523809523
14,up_trend,2024-10-17,2024-11-13,20,0.2119133456127686,4,0.21052631578947367,4,0.2857142857142857,1.0
15,down_trend,2024-11-13,2025-06-20,146,-0.314955721411725,23,0.15862068965517243,1,0.07692307692307693,1.0
16,up_trend,2025-06-20,2025-07-25,26,0.347089749436465,11,0.44,8,0.5714285714285714,1.0
17,down_trend,2025-07-25,2025-08-05,8,-0.1452734834804954,0,0.0,0,0.0,0.8571428571428571
18,up_trend,2025-08-05,2025-08-18,10,0.3081726112478464,1,0.1111111111111111,1,0.1111111111111111,0.9523809523809523
19,down_trend,2025-08-18,2025-09-10,18,-0.2040031419237747,0,0.0,0,0.0,0.5714285714285714
20,up_trend,2025-09-10,2025-11-19,45,0.4088685442043029,13,0.28888888888888886,10,0.6666666666666666,1.0
21,up_trend,2025-11-24,2025-12-26,25,0.4296036811786308,2,0.08,2,0.13333333333333333,1.0
22,up_trend,2025-12-29,2026-01-13,10,0.4029295685215828,1,0.1,1,0.1,0.9047619047619048
23,up_trend,2026-01-16,2026-01-23,6,0.2409454045723956,0,0.0,0,0.0,0.5238095238095238
24,down_trend,2026-01-27,2026-02-02,5,-0.2580259777494678,1,0.2,1,0.2,0.9523809523809523
25,up_trend,2026-02-05,2026-02-27,11,0.3263552444063862,0,0.0,0,0.0,0.6190476190476191
26,down_trend,2026-02-27,2026-03-19,15,-0.1914665564583398,0,0.0,0,0.0,0.7142857142857143
27,up_trend,2026-03-19,2026-03-30,8,0.2077256723338416,1,0.14285714285714285,1,0.14285714285714285,0.9047619047619048
28,down_trend,2026-03-30,2026-04-09,8,-0.110888270568787,1,0.14285714285714285,1,0.14285714285714285,0.9047619047619048
29,up_trend,2026-04-09,2026-04-20,8,0.1713033157061574,0,0.0,0,0.0,0.8571428571428571
