segment_id,trend,start_date,end_date,days,return,drop_signal_days_in_trend,drop_signal_ratio_in_trend,drop_signal_days_before_end,drop_signal_ratio_before_end,max_drop_before_end,mean_drop_before_end
1,down_trend,2023-07-21,2023-09-27,49,-0.3425342392184682,4,0.08333333333333333,0,0.0,0.6778991367853193,0.24864367768155543
2,up_trend,2023-09-27,2023-10-13,7,0.1336701593837179,1,0.16666666666666666,1,0.16666666666666666,1.0404388117021381,0.5563036328321854
3,down_trend,2023-10-13,2023-12-05,38,-0.4267785940876712,0,0.0,0,0.0,0.958183278054672,0.35158071422987025
4,up_trend,2023-12-12,2024-01-02,15,0.1437943686518774,8,0.5714285714285714,8,0.6153846153846154,1.8766937133190735,1.0666975341361191
5,down_trend,2024-01-02,2024-02-20,30,-0.1357160943905404,1,0.034482758620689655,0,0.0,0.9406916308263442,0.48286632205264196
6,up_trend,2024-02-20,2024-03-12,16,0.2882424983771574,1,0.06666666666666667,1,0.07142857142857142,1.0192424359164667,0.3870593404045107
7,down_trend,2024-03-12,2024-03-29,14,-0.10438371323683,0,0.0,0,0.0,0.7547050349844321,0.5183112833428404
8,up_trend,2024-03-29,2024-04-29,20,0.0824565485421232,0,0.0,0,0.0,0.8216707698149948,0.3816033470958967
9,down_trend,2024-04-29,2024-08-15,75,-0.3696884011987889,0,0.0,0,0.0,0.6322943409812132,0.29468088286207295
10,up_trend,2024-08-15,2024-08-30,12,0.0897463977764733,0,0.0,0,0.0,0.5467232907161083,0.2722115863908374
11,down_trend,2024-08-30,2024-09-05,5,-0.1008202824121812,0,0.0,0,0.0,0.4642495633437726,0.27738959925651197
12,up_trend,2024-09-05,2024-09-30,16,0.1328345341552293,1,0.06666666666666667,1,0.08333333333333333,1.0308269151212808,0.6291635920062612
13,down_trend,2024-09-30,2024-10-17,9,-0.1232030855106307,1,0.125,1,0.125,1.0628115458924592,0.5883796051171237
14,up_trend,2024-10-17,2024-11-13,20,0.2119133456127686,0,0.0,0,0.0,0.6990998159910985,0.2834442353357832
15,down_trend,2024-11-13,2025-06-20,146,-0.314955721411725,4,0.027586206896551724,0,0.0,0.9011379454171066,0.5228765212054166
16,up_trend,2025-06-20,2025-07-25,26,0.347089749436465,1,0.04,1,0.07142857142857142,1.043032148797279,0.29717000310844766
17,down_trend,2025-07-25,2025-08-05,8,-0.1452734834804954,1,0.14285714285714285,1,0.14285714285714285,1.1227546716910473,0.6008623475638505
18,up_trend,2025-08-05,2025-08-18,10,0.3081726112478464,2,0.2222222222222222,2,0.2222222222222222,2.8805525754936654,0.7674879049238679
19,down_trend,2025-08-18,2025-09-10,18,-0.2040031419237747,0,0.0,0,0.0,0.9040121251062059,0.4419118376352472
20,up_trend,2025-09-10,2025-11-19,45,0.4088685442043029,0,0.0,0,0.0,0.63046215068654,0.1955822458416898
21,up_trend,2025-11-24,2025-12-26,25,0.4296036811786308,4,0.16,0,0.0,0.7097460679180535,0.23647535087194066
22,up_trend,2025-12-29,2026-01-13,10,0.4029295685215828,1,0.1,1,0.1,2.2527283391707065,0.6736358864716641
23,up_trend,2026-01-16,2026-01-23,6,0.2409454045723956,0,0.0,0,0.0,0.9258395702301441,0.6674200175710959
24,down_trend,2026-01-27,2026-02-02,5,-0.2580259777494678,0,0.0,0,0.0,0.6617313793131765,0.2253240972794607
25,up_trend,2026-02-05,2026-02-27,11,0.3263552444063862,1,0.1,1,0.125,1.0310287731681043,0.7532411601772517
26,down_trend,2026-02-27,2026-03-19,15,-0.1914665564583398,0,0.0,0,0.0,0.8633889962038743,0.5234797261626821
27,up_trend,2026-03-19,2026-03-30,8,0.2077256723338416,0,0.0,0,0.0,0.35957136796697153,0.18923231749110286
28,down_trend,2026-03-30,2026-04-09,8,-0.110888270568787,0,0.0,0,0.0,0.7166553092906734,0.366107533726301
29,up_trend,2026-04-09,2026-04-20,8,0.1713033157061574,0,0.0,0,0.0,0.6101984046539802,0.3570742740553796
