date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale,base_position,factor_position_source,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2018-01-02,55613.82794012001,55412.23288912307,55883.62496629107,55112.64680123779,187723.0,51834403750.0,371971.0,-0.6838484221979089,12,price_up_speculation_up,,,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2018-01-03,55406.77803436197,54882.88638636866,55409.530804718845,54835.60689642022,171685.0,47141035350.0,366919.0,-0.7594797128381782,12,price_up_speculation_up,,-0.009552881650043088,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.009552881650043088,-0.009552881650043088,0.9904471183499569,0.9904471183499569,1.0,1.0,-0.009552881650043088,-0.009552881650043088
2018-01-04,54891.55082706235,55166.48867502227,55610.05543633282,54877.277490479166,188367.0,51900862150.0,369493.0,-0.6737396081247622,12,price_up_speculation_up,,0.005167408409555874,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,0.005167408409555874,0.005167408409555874,0.9955651631185388,0.9955651631185388,1.0,1.0,-0.004434836881461179,-0.004434836881461179
2018-01-05,55174.92919894123,54645.80407039207,55298.81875644295,54597.02321839718,168345.0,46114851200.0,360211.0,-0.760674525728906,12,price_up_speculation_up,,-0.009438422077168607,,,,0,,,0,,,,0,1.0,1.0,1.0,position,1.0,-0.009438422077168607,-0.009438422077168607,0.9861685989037008,0.9861685989037008,1.0,1.0,-0.013831401096299212,-0.013831401096299212
2018-01-06,54656.80081080706,54687.526645506194,54716.70565909636,54628.23908472514,5614.0,1529662950.0,359160.0,-4.158504493712917,12,price_up_speculation_up,,0.0007635092176587754,54958.987733282454,,,0,365550.8,,0,,,,0,1.0,1.0,1.0,position,1.0,0.0007635092176587754,0.0007635092176587754,0.9869215477191294,0.9869215477191294,1.0,1.0,-0.013078452280870567,-0.013078452280870567
2018-01-08,54701.67187800185,54862.0709737602,55062.82202809421,54577.0763925403,155421.0,42427049050.0,356977.0,-0.8315337899951496,12,price_up_speculation_up,-0.6425886536263977,0.003191666161562523,54848.95535020988,,,0,362552.0,,0,-0.7594797128381782,0.0756312906402693,-0.6425886536263977,0,1.0,1.0,1.0,position,1.0,0.003191666161562523,0.003191666161562523,0.9900714718271015,0.9900714718271015,1.0,1.0,-0.009928528172898465,-0.009928528172898465
2018-01-09,54860.96386352365,54906.74394376454,55304.116396188496,54783.51836386973,170768.0,46819791300.0,357070.0,-0.7376259308185393,12,price_up_speculation_up,0.2050727080771296,0.0008142778646782478,54853.72686168905,,,0,360582.2,,0,-0.760077119283542,0.0738426838986203,0.2050727080771296,0,1.0,1.0,1.0,position,1.0,0.0008142778646782478,0.0008142778646782478,0.9908776651110598,0.9908776651110598,1.0,1.0,-0.009122334888940209,-0.009122334888940209
2018-01-10,54900.15683638606,55153.09291151541,55461.1973248712,54887.044257157024,139882.0,38429115600.0,351937.0,-0.922652972244378,12,price_up_speculation_up,-1.5274479946827058,0.0044866795962839046,54851.04770898768,,,0,357071.0,,0,-0.7594797128381782,0.0720540771569714,-1.5274479946827058,0,1.0,1.0,1.0,position,1.0,0.0044866795962839046,0.0044866795962839046,0.995323415713527,0.995323415713527,1.0,1.0,-0.004676584286472996,-0.004676584286472996
2018-01-11,55163.61422710174,54633.15827746393,55365.11253000942,54437.51128644182,182352.0,50031199450.0,350669.0,-0.6539038734864236,12,price_up_speculation_up,0.969803227784323,-0.009427116533348934,54848.518550402056,,,0,355162.6,,0,-0.760077119283542,0.0738426838986203,0.969803227784323,0,1.0,1.0,1.0,position,1.0,-0.009427116533348934,-0.009427116533348934,0.9859403858852247,0.9859403858852247,1.0,1.0,-0.014059614114775298,-0.014059614114775298
2018-01-12,54636.395335576206,54634.50639626128,54969.8892355198,54557.69164744847,150686.0,41136756400.0,345358.0,-0.8293833586557814,12,price_up_speculation_up,-0.623410796749954,2.467583496623682e-05,54837.914500553066,54898.45111691776,,0,352402.2,358976.5,0,-0.7594797128381782,0.0756312906402693,-0.623410796749954,0,1.0,1.0,1.0,position,1.0,2.467583496623682e-05,2.467583496623682e-05,0.9859647147874734,0.9859647147874734,1.0,1.0,-0.014035285212526616,-0.014035285212526616
2018-01-13,54634.52603444232,54590.18632693384,54637.84800669503,54563.79346311304,5295.0,1440622750.0,344663.0,-4.175804148992436,12,price_up_speculation_up,-31.199791188184136,-0.0008112102085444661,54783.53757118779,54816.24646069883,,0,349939.4,356245.7,0,-0.760077119283542,0.0738426838986203,-31.199791188184136,0,1.0,1.0,1.0,position,1.0,-0.0008112102085444661,-0.0008112102085444661,0.9851648901455732,0.9851648901455732,1.0,1.0,-0.01483510985442682,-0.01483510985442682
2018-01-15,54623.22888895981,54999.72333152296,55270.43542175897,54574.44242021623,166220.0,45555451650.0,344311.0,-0.7282331065910324,12,price_up_speculation_up,0.504254099670323,0.007502026135914885,54802.13344873948,54827.93015521427,,0,347387.6,353984.9,0,-0.7950289421923438,0.089346172720693,0.504254099670323,0,1.0,1.0,1.0,position,1.0,0.007502026135914885,0.007502026135914885,0.992555622899631,0.992555622899631,1.0,1.0,-0.007444377100369048,-0.007444377100369048
2018-01-16,54998.01535208732,53955.17105539709,55034.4060764218,53818.55292817944,234822.0,63700116200.0,333050.0,-0.3494648485313118,12,price_up_speculation_up,3.1956678397965,-0.018991955101839375,54562.549077515825,54706.798393251745,,0,343610.2,350340.6,0,-0.7950289421923438,0.0940425848344465,3.1956678397965,0,1.0,1.0,1.0,position,1.0,-0.018991955101839375,-0.018991955101839375,0.973705051073443,0.973705051073443,1.0,1.0,-0.026294948926557038,-0.026294948926557038
2018-01-17,53956.853744355845,53689.39564960002,54217.35515332096,53652.99758954214,181215.0,48720316200.0,329395.0,-0.5975734668751594,12,price_up_speculation_up,1.3700440853718263,-0.004925856050464472,54373.79655194304,54611.15755117255,,0,339355.4,347259.0,0,-0.7950289421923438,0.0972099328266728,1.3700440853718263,0,1.0,1.0,1.0,position,1.0,-0.004925856050464472,-0.004925856050464472,0.9689087201562451,0.9689087201562451,1.0,1.0,-0.031091279843754926,-0.031091279843754926
2018-01-18,53689.40032424752,53927.03794868054,54122.203546344346,53667.42689064406,163205.0,43876700450.0,329076.0,-0.7012816478121943,12,price_up_speculation_up,0.4127169311330929,0.004426242765545041,54232.30286242689,54535.10868148998,,0,336099.0,344250.6,0,-0.7835046447371603,0.1343745493789772,0.4127169311330929,0,1.0,1.0,1.0,position,1.0,0.004426242765545041,0.004426242765545041,0.9731973453693101,0.9731973453693101,1.0,1.0,-0.02680265463068987,-0.02680265463068987
2018-01-19,53928.392329666334,53640.59542508879,54042.58200795228,53516.346368376384,197778.0,53036436600.0,329143.0,-0.5093471172433663,12,price_up_speculation_up,1.546249605377036,-0.00531166803309957,54042.38468205788,54412.96112662284,,0,332995.0,341467.2,0,-0.7329295187047858,0.0975290556206796,1.546249605377036,0,1.0,1.0,1.0,position,1.0,-0.00531166803309957,-0.00531166803309957,0.9680280441400146,0.9680280441400146,1.0,1.0,-0.03197195585998536,-0.03197195585998536
2018-01-20,53643.4146393331,53604.038161413286,53672.4994227591,53602.24067488264,7381.0,1973442650.0,328709.0,-3.7962637300976207,12,price_up_speculation_up,-17.93234571932476,-0.0006815223318420438,53763.24764803595,54282.69054838772,,0,329874.6,338631.1,0,-0.7147573772016134,0.1159049458903109,-17.93234571932476,0,1.0,1.0,1.0,position,1.0,-0.0006815223318420438,-0.0006815223318420438,0.9673683114100838,0.9673683114100838,1.0,1.0,-0.032631688589916164,-0.032631688589916164
2018-01-22,53619.2454414113,53716.88678876047,54153.28700513632,53611.38717968216,169671.0,45589214200.0,332149.0,-0.671722395587461,12,price_up_speculation_up,0.1799579788267867,0.002105226233280577,53715.59079470862,54139.069936112224,,0,329694.4,336652.3,0,-0.7147573772016134,0.1612970851423504,0.1799579788267867,0,1.0,1.0,1.0,position,1.0,0.002105226233280577,0.002105226233280577,0.9694048405565087,0.9694048405565087,1.0,1.0,-0.030595159443491338,-0.030595159443491338
2018-01-23,53718.26276989949,52943.978939963,54002.39501049446,52808.1940107963,259492.0,69103424850.0,352516.0,-0.30637013767879,12,price_up_speculation_up,2.212118224840653,-0.014388545111277518,53566.50745278122,53970.15200236213,,0,334318.6,336837.0,0,-0.6865020216998277,0.1159049458903109,2.212118224840653,0,1.0,1.0,1.0,position,1.0,-0.014388545111277518,-0.014388545111277518,0.9554565152770705,0.9554565152770705,1.0,1.0,-0.04454348472292946,-0.04454348472292946
2018-01-24,52947.13482636172,53629.83446854149,53754.03897192732,52777.18246485631,274810.0,72870537750.0,358965.0,-0.2671449409113294,12,price_up_speculation_up,1.7676277827999591,0.012954363127037238,53507.06675675341,53869.68480959015,54384.067963253954,0,340296.4,338197.7,1,-0.6865020216998277,0.1600181207062075,1.7676277827999591,0,1.0,1.0,1.0,position,1.0,0.012954363127037238,0.012954363127037238,0.9678338459280633,0.9678338459280633,1.0,1.0,-0.03216615407193668,-0.03216615407193668
2018-01-25,53631.50730459782,53708.90774859814,54416.31484498018,53623.72071376617,331989.0,89557661300.0,369512.0,-0.107081380342789,12,price_up_speculation_up,1.733752609801366,0.001474427076649576,53520.72922145529,53781.556951756575,54298.901706227705,0,348370.2,340682.6,1,-0.6346479312313102,0.2052419483439711,1.733752609801366,0,1.0,1.0,1.0,position,1.0,0.001474427076649576,0.001474427076649576,0.9692608463561976,0.9692608463561976,1.0,1.0,-0.03073915364380242,-0.03073915364380242
2018-01-26,53708.70122596302,53441.59593451164,53860.7345235161,53383.69879594658,180436.0,48292427300.0,377716.0,-0.7387664462230913,12,price_up_speculation_up,-0.6599670695610178,-0.0049770480408526385,53488.24077607495,53625.74421205545,54226.83718363485,0,358171.6,344023.1,1,-0.5534602920592628,0.1893841290298602,-0.6599670695610178,0,1.0,1.0,1.0,position,1.0,-0.0049770480408526385,-0.0049770480408526385,0.9644367885597653,0.9644367885597653,1.0,1.0,-0.035563211440234666,-0.035563211440234666
2018-01-27,53443.05757529218,53493.14944006119,53523.89523827206,53432.00099559924,8266.0,2201308550.0,376559.0,-3.8189240253805297,12,price_up_speculation_up,-11.315263675168913,0.0009646700224432703,53443.4933063351,53579.54205052186,54143.17022188681,0,367053.6,348374.0,1,-0.5534602920592628,0.1946507988458897,-11.315263675168913,0,1.0,1.0,1.0,position,1.0,0.0009646700224432703,0.0009646700224432703,0.9653671518182304,0.9653671518182304,1.0,1.0,-0.03463284818176959,-0.03463284818176959
2018-01-29,53587.71790496542,53755.20337810063,54038.282219609806,53535.805811153456,206040.0,55337582850.0,384358.0,-0.6235040852430503,12,price_up_speculation_up,0.0331427497643558,0.004898831734203135,53605.73819396262,53586.12282337192,54098.640187272234,0,373422.0,353870.3,1,-0.6346479312313102,0.226789303770232,0.0331427497643558,0,1.0,1.0,1.0,position,1.0,0.004898831734203135,0.004898831734203135,0.9700963230567149,0.9700963230567149,1.0,1.0,-0.029903676943285107,-0.029903676943285107
2018-01-30,53747.801131560125,53321.356151071705,53814.39414069419,53111.634716701614,240451.0,63978190000.0,381779.0,-0.4623255805759641,12,price_up_speculation_up,0.521261354959534,-0.008070795007087073,53544.042530468665,53525.55464361104,54030.33166255051,0,377984.8,359140.6,1,-0.6476132404152557,0.2397546129541775,0.521261354959534,0,1.0,1.0,1.0,position,1.0,-0.008070795007087073,-0.008070795007087073,0.9622668744961952,0.9622668744961952,1.0,1.0,-0.03773312550380481,-0.03773312550380481
2018-01-31,53321.38628100213,53447.81068015799,53661.11980060752,53177.44269711274,181381.0,48248967100.0,382073.0,-0.7450118985345906,12,price_up_speculation_up,-0.5571500260828913,0.0023715550056155887,53491.82311678063,53506.27616911796,53959.6186478704,0,380497.0,364433.6,1,-0.5664256012432083,0.2161981542721506,-0.5571500260828913,0,1.0,1.0,1.0,position,1.0,0.0023715550056155887,0.0023715550056155887,0.9645489433191448,0.9645489433191448,1.0,1.0,-0.03545105668085524,-0.03545105668085524
2018-02-01,53453.77128469807,53350.51406106669,53571.05723667857,53138.27986682026,160018.0,42496582400.0,381550.0,-0.8689555948294657,12,price_up_speculation_up,-0.5670831918821283,-0.0018204042009043464,53473.60674209164,53480.9237590833,53881.807153735506,0,381263.8,369717.7,1,-0.6476132404152557,0.2632653812878786,-0.5670831918821283,0,1.0,1.0,1.0,position,1.0,-0.0018204042009043464,-0.0018204042009043464,0.9627930743707488,0.9627930743707488,1.0,1.0,-0.03720692562925121,-0.03720692562925121
2018-02-02,53346.5470805005,53180.38833947652,53964.158736475045,53049.3936773524,241450.0,64354275600.0,386878.0,-0.4714469855318935,12,price_up_speculation_up,0.5844256787987903,-0.0031888300344292686,53411.054521974715,53427.273914154895,53783.17192513356,0,383327.6,375190.6,1,-0.6476132404152557,0.2033150071267508,0.5844256787987903,0,1.0,1.0,1.0,position,1.0,-0.0031888300344292686,-0.0031888300344292686,0.9597228908982549,0.9597228908982549,1.0,1.0,-0.04027710910174509,-0.04027710910174509
2018-02-03,53179.20400196478,53250.67699847432,53273.61128019956,53135.67267002551,11483.0,3041950950.0,386057.0,-3.515117346162657,12,price_up_speculation_up,-9.126568226850246,0.0013217026274632282,53310.14924604945,53457.943720006035,53714.04786118409,0,383667.4,378544.7,1,-0.547475535387472,0.2193208804279003,-9.126568226850246,0,1.0,1.0,1.0,position,1.0,0.0013217026274632282,0.0013217026274632282,0.9609913591647917,0.9609913591647917,1.0,1.0,-0.039008640835208275,-0.039008640835208275
2018-02-05,53225.78962234327,53965.89160165096,54146.39839705695,53162.52704026369,213429.0,56937556550.0,386445.0,-0.5936853305172345,12,price_up_speculation_up,0.2753066664874538,0.013431089396236828,53439.05633616529,53491.54943331699,53680.61712145356,0,384600.6,381292.7,1,-0.6811352657330708,0.214248982679142,0.2753066664874538,0,1.0,1.0,1.0,position,1.0,0.013431089396236828,0.013431089396236828,0.9738985200187452,0.9738985200187452,1.0,1.0,-0.026101479981254783,-0.026101479981254783
2018-02-06,53963.17047042384,53238.79853810988,53974.27141112675,52937.1679330057,279687.0,74170602600.0,387170.0,-0.3251927523038205,12,price_up_speculation_up,1.2079232026512732,-0.013473196531396558,53397.25390775568,53444.53851226816,53613.04773201237,0,385620.0,383058.5,1,-0.6811352657330708,0.1987543046487861,1.2079232026512732,0,1.0,1.0,1.0,position,1.0,-0.013473196531396558,-0.013473196531396558,0.9607769938568964,0.9607769938568964,1.0,1.0,-0.03922300614310359,-0.03922300614310359
2018-02-07,53235.979777109125,52182.59740585879,53495.245192504815,52078.86496607775,323468.0,85029135450.0,398205.0,-0.207866757090756,12,price_up_speculation_up,1.6060796086580602,-0.01983893628807243,53163.670576714096,53318.638659402866,53472.19143572915,0,388951.0,385107.4,1,-0.6811352657330708,0.1987543046487861,1.6060796086580602,0,1.0,1.0,1.0,position,1.0,-0.01983893628807243,-0.01983893628807243,0.9417162002887237,0.9417162002887237,1.0,1.0,-0.058283799711276285,-0.058283799711276285
