date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_abs_first_diff,speculation_first_diff_rank,speculation_abs_first_diff_rank,speculation_first_diff_rise_signal,speculation_first_diff_drop_signal,speculation_first_diff_large_abs_signal,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2023-07-21,214134.19913419912,no_trend,,0,,22,speculation_first_difference,,2.091107917975069,,,,,0,0,0,0,1.0,0,235420.71047957373,no_trend,0.0,,0.0,0.0,-21286.5113453746,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,22,speculation_first_difference,,1.4143789712621873,-0.6767289467128816,0.6767289467128816,,,0,0,0,0,1.0,0,210553.2268650186,down_trend,-1.0,1.0,0.0,0.0,-9256.679082668357,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-25,216694.29427430092,up_trend,1.0,0,,22,speculation_first_difference,,1.598095534571003,0.1837165633088158,0.1837165633088158,,,0,0,0,0,1.0,0,201523.5243597752,up_trend,1.0,2.0,-1.0,-1.0,15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-0.0,15170.769914525707
2023-07-26,219563.98194099808,up_trend,1.0,0,,22,speculation_first_difference,,2.025216349105437,0.4271208145344338,0.4271208145344338,,,0,0,0,0,1.0,0,217897.3795039775,up_trend,1.0,2.0,1.0,1.0,1666.6024370205705,1666.6024370205705,1666.6024370205705,-13504.167477505136,-13504.167477505136,-0.0,13504.167477505136
2023-07-27,217538.3747103608,up_trend,1.0,0,,22,speculation_first_difference,,1.176569968274467,-0.8486463808309699,0.8486463808309699,,,0,0,0,0,1.0,0,224212.93941660432,up_trend,1.0,2.0,1.0,1.0,-6674.564706243516,-6674.564706243516,-6674.564706243516,-20178.732183748652,-20178.732183748652,-0.0,20178.732183748652
2023-07-28,220461.82341001357,up_trend,1.0,0,,22,speculation_first_difference,,1.137255999052689,-0.0393139692217781,0.0393139692217781,,,0,0,0,0,1.0,0,216775.42920556173,up_trend,1.0,2.0,1.0,1.0,3686.394204451848,3686.394204451848,3686.394204451848,-16492.337979296804,-16492.337979296804,-0.0,16492.337979296804
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,22,speculation_first_difference,,0.8447978475536825,-0.2924581514990064,0.2924581514990064,,,0,0,0,0,1.0,0,221490.2407221665,up_trend,1.0,2.0,1.0,1.0,-786.6386583160784,-786.6386583160784,-786.6386583160784,-17278.976637612883,-17278.976637612883,-0.0,17278.976637612883
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,22,speculation_first_difference,,0.3455711668003232,-0.4992266807533593,0.4992266807533593,,,0,0,0,0,1.0,0,221431.6312827727,up_trend,1.0,2.0,1.0,1.0,2.0252622643020004,2.0252622643020004,2.0252622643020004,-17276.95137534858,-17276.95137534858,-0.0,17276.95137534858
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,22,speculation_first_difference,,0.0777876826569847,-0.2677834841433384,0.2677834841433384,,,0,0,0,0,1.0,0,221531.3974879472,up_trend,1.0,2.0,1.0,1.0,381.8848087035294,381.8848087035294,381.8848087035294,-16895.06656664505,-16895.06656664505,-0.0,16895.06656664505
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,22,speculation_first_difference,,0.278676766271454,0.2008890836144692,0.2008890836144692,,,0,0,0,0,1.0,0,219951.91062587276,up_trend,1.0,2.0,1.0,1.0,3298.003114114894,3298.003114114894,3298.003114114894,-13597.063452530158,-13597.063452530158,-0.0,13597.063452530158
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,22,speculation_first_difference,,-0.1709041956432761,-0.44958096191473,0.44958096191473,,,0,0,0,0,1.0,0,224539.9914795204,up_trend,1.0,2.0,1.0,1.0,-1832.145718663989,-1832.145718663989,-1832.145718663989,-15429.209171194147,-15429.209171194147,-0.0,15429.209171194147
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,22,speculation_first_difference,0.9,0.5882044007797698,0.7591085964230458,0.7591085964230458,1.0,0.9,1,0,0,0,1.0,0,221536.71889177908,down_trend,-1.0,3.0,1.0,1.0,-7603.5574628239265,-7603.5574628239265,-7603.5574628239265,-23032.766634018073,-23032.766634018073,-0.0,23032.766634018073
2023-08-08,211639.1597789407,down_trend,2.0,0,,22,speculation_first_difference,0.0909090909090909,0.4416301173252139,-0.1465742834545558,0.1465742834545558,0.5454545454545454,0.0909090909090909,0,0,0,0,1.0,0,213715.68585718848,down_trend,-1.0,3.0,-1.0,-1.0,-2076.5260782477853,2076.5260782477853,2076.5260782477853,-20956.240555770288,-20956.240555770288,-0.0,20956.240555770288
2023-08-09,212657.0317916213,down_trend,2.0,0,,22,speculation_first_difference,0.1666666666666666,0.2944802454904577,-0.1471498718347562,0.1471498718347562,0.5,0.1666666666666666,0,0,0,0,1.0,0,212008.11296035716,down_trend,-1.0,3.0,-1.0,-1.0,648.9188312641345,-648.9188312641345,-648.9188312641345,-21605.159387034422,-21605.159387034422,-0.0,21605.159387034422
2023-08-10,206395.3513174404,down_trend,2.0,0,,22,speculation_first_difference,0.0769230769230769,0.3464598352495612,0.0519795897591034,0.0519795897591034,0.6923076923076923,0.0769230769230769,0,0,0,0,1.0,0,212438.06638306292,down_trend,-1.0,3.0,-1.0,-1.0,-6042.715065622528,6042.715065622528,6042.715065622528,-15562.444321411895,-15562.444321411895,-0.0,15562.444321411895
2023-08-11,204917.29295378117,down_trend,2.0,0,,22,speculation_first_difference,0.5714285714285714,0.7545857171442018,0.4081258818946405,0.4081258818946405,0.8571428571428571,0.5714285714285714,0,0,0,0,1.0,0,205989.2162957437,down_trend,-1.0,3.0,-1.0,-1.0,-1071.923341962538,1071.923341962538,1071.923341962538,-14490.520979449357,-14490.520979449357,-0.0,14490.520979449357
2023-08-14,193643.2345381271,down_trend,2.0,0,,22,speculation_first_difference,0.4,0.5485525533084864,-0.2060331638357153,0.2060331638357153,0.4,0.4,0,0,0,0,1.0,0,203604.56147745124,down_trend,-1.0,3.0,-1.0,-1.0,-9961.32693932415,9961.32693932415,9961.32693932415,-4529.194040125207,-4529.194040125207,-0.0,4529.194040125207
2023-08-15,189680.8139697453,down_trend,2.0,0,,22,speculation_first_difference,0.5625,0.8881893576869988,0.3396368043785124,0.3396368043785124,0.8125,0.5625,0,0,0,0,1.0,0,193145.9369895716,down_trend,-1.0,3.0,-1.0,-1.0,-3465.1230198263074,3465.1230198263074,3465.1230198263074,-1064.0710202988994,-1064.0710202988994,-0.0,1064.0710202988994
2023-08-16,191747.30923578836,down_trend,2.0,0,,22,speculation_first_difference,0.0,0.8555210234584508,-0.0326683342285479,0.0326683342285479,0.5882352941176471,0.0,0,0,0,0,1.0,0,189012.4814493322,down_trend,-1.0,3.0,-1.0,-1.0,2734.8277864561533,-2734.8277864561533,-2734.8277864561533,-3798.8988067550526,-3798.8988067550526,-0.0,3798.8988067550526
2023-08-17,189797.6065547304,down_trend,2.0,0,,22,speculation_first_difference,0.3333333333333333,0.6625747876374212,-0.1929462358210296,0.1929462358210296,0.3888888888888889,0.3333333333333333,0,0,0,0,1.0,0,191672.6065578457,down_trend,-1.0,3.0,-1.0,-1.0,-1875.0000031153031,1875.0000031153031,1875.0000031153031,-1923.8988036397495,-1923.8988036397495,-0.0,1923.8988036397495
2023-08-18,191523.40382269217,down_trend,2.0,0,,22,speculation_first_difference,0.631578947368421,0.2623910774735881,-0.4001837101638331,0.4001837101638331,0.2105263157894736,0.631578947368421,0,0,0,0,1.0,0,190896.2310327949,down_trend,-1.0,3.0,-1.0,-1.0,627.1727898972749,-627.1727898972749,-627.1727898972749,-2551.0715935370245,-2551.0715935370245,-0.0,2551.0715935370245
2023-08-21,197116.13041744623,down_trend,2.0,0,,22,speculation_first_difference,0.6,0.6506022352624492,0.3882111577888611,0.3882111577888611,0.85,0.6,0,0,0,0,1.0,0,193690.5635572176,down_trend,-1.0,3.0,-1.0,-1.0,3425.5668602286314,-3425.5668602286314,-3425.5668602286314,-5976.638453765656,-5976.638453765656,-0.0,5976.638453765656
2023-08-22,194571.815011419,down_trend,2.0,0,,22,speculation_first_difference,0.15,0.5788551278390585,-0.0717471074233907,0.0717471074233907,0.5,0.15,0,0,0,0,1.0,0,197312.7926191132,down_trend,-1.0,3.0,-1.0,-1.0,-2740.9776076941926,2740.9776076941926,2740.9776076941926,-3235.6608460714633,-3235.6608460714633,-0.0,3235.6608460714633
2023-08-23,196128.50058430465,down_trend,2.0,0,,22,speculation_first_difference,0.6,0.2350757936929626,-0.3437793341460958,0.3437793341460958,0.2,0.6,0,0,0,0,1.0,0,194557.7436274961,down_trend,-1.0,3.0,-1.0,-1.0,1570.75695680856,-1570.75695680856,-1570.75695680856,-4806.417802880023,-4806.417802880023,-0.0,4806.417802880023
2023-08-24,195419.81314730016,down_trend,2.0,0,,22,speculation_first_difference,0.15,0.1654618274742042,-0.0696139662187584,0.0696139662187584,0.6,0.15,0,0,0,0,1.0,0,197183.17595923255,down_trend,-1.0,3.0,-1.0,-1.0,-1763.3628119323985,1763.3628119323985,1763.3628119323985,-3043.054990947625,-3043.054990947625,-0.0,3043.054990947625
2023-08-25,190778.92248989124,down_trend,2.0,0,,22,speculation_first_difference,0.1,0.1168524055146719,-0.0486094219595323,0.0486094219595323,0.6,0.1,0,0,0,0,1.0,0,195890.9368479195,down_trend,-1.0,3.0,-1.0,-1.0,-5112.014358028275,5112.014358028275,5112.014358028275,2068.95936708065,2068.95936708065,2068.95936708065,0.0
2023-08-28,182823.25598746547,down_trend,2.0,0,,22,speculation_first_difference,0.95,0.7831209555005861,0.6662685499859142,0.6662685499859142,0.95,0.95,0,0,1,1,0.5,0,192089.34118450247,down_trend,-1.0,3.0,-1.0,-1.0,-9266.085197036999,9266.085197036999,9266.085197036999,11335.044564117648,11335.044564117648,11335.044564117648,0.0
2023-08-29,183944.18517804652,down_trend,2.0,0,,22,speculation_first_difference,0.25,0.704693048634028,-0.0784279068665581,0.0784279068665581,0.45,0.25,0,0,0,0,1.0,0,182575.4776284975,down_trend,-1.0,3.0,-1.0,-0.5,1368.707549549028,-684.353774774514,-1368.707549549028,10650.690789343134,9966.33701456862,11335.044564117648,684.353774774514
2023-08-30,183383.0947994899,down_trend,2.0,0,,22,speculation_first_difference,0.6,0.4301450479677753,-0.2745480006662527,0.2745480006662527,0.15,0.6,0,0,0,0,1.0,0,185547.23854006163,down_trend,-1.0,3.0,-1.0,-1.0,-2164.1437405717443,2164.1437405717443,2164.1437405717443,12814.834529914879,12130.480755140365,12814.834529914879,0.0
2023-08-31,184364.5029335453,down_trend,2.0,0,,22,speculation_first_difference,0.55,0.6723508618009333,0.2422058138331579,0.2422058138331579,0.75,0.55,0,0,0,0,1.0,0,183930.2542910141,down_trend,-1.0,3.0,-1.0,-1.0,434.2486425311945,-434.2486425311945,-434.2486425311945,12380.585887383684,11696.23211260917,12814.834529914879,434.2486425311945
2023-09-01,184103.68802188992,down_trend,2.0,0,,22,speculation_first_difference,0.05,0.627944823211373,-0.0444060385895602,0.0444060385895602,0.6,0.05,0,0,0,0,1.0,0,185445.62961066765,down_trend,-1.0,3.0,-1.0,-1.0,-1341.9415887777286,1341.9415887777286,1341.9415887777286,13722.527476161413,13038.173701386899,13722.527476161413,0.0
2023-09-04,187126.3395181521,down_trend,2.0,0,,22,speculation_first_difference,0.35,0.4859046043477473,-0.1420402188636257,0.1420402188636257,0.35,0.35,0,0,0,0,1.0,0,185547.80203033783,down_trend,-1.0,3.0,-1.0,-1.0,1578.537487814261,-1578.537487814261,-1578.537487814261,12143.989988347152,11459.636213572638,13722.527476161413,1578.537487814261
2023-09-05,187481.0988396477,down_trend,2.0,0,,22,speculation_first_difference,0.0,0.4685346352422799,-0.0173699691054673,0.0173699691054673,0.7,0.0,0,0,0,0,1.0,0,188310.9369101548,down_trend,-1.0,3.0,-1.0,-1.0,-829.8380705071031,829.8380705071031,829.8380705071031,12973.828058854255,12289.47428407974,13722.527476161413,748.699417307158
2023-09-06,187410.7465832597,down_trend,2.0,0,,22,speculation_first_difference,0.9,0.0619556344017436,-0.4065790008405363,0.4065790008405363,0.0,0.9,0,1,0,0,1.0,0,187975.35199832992,down_trend,-1.0,3.0,-1.0,-1.0,-564.6054150702257,564.6054150702257,564.6054150702257,13538.43347392448,12854.079699149966,13722.527476161413,184.09400223693228
2023-09-07,181934.7677695439,down_trend,2.0,0,,22,speculation_first_difference,0.6,0.3070118385914482,0.2450562041897046,0.2450562041897046,0.8,0.6,0,0,0,0,1.0,0,186668.02229234297,down_trend,-1.0,3.0,-1.0,-1.0,-4733.254522799078,4733.254522799078,4733.254522799078,18271.687996723558,17587.334221949044,18271.687996723558,0.0
