date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal,open,realtime_trend,realtime_position,realtime_segment_id,base_position,factor_position,daily_price_return,strategy_return,base_strategy_return,nav,base_nav,running_max,drawdown
2023-07-21,214134.19913419912,no_trend,,0,,23,speculation_continuous_drop,,2.091107917975069,,,,0,0,1.0,0,235420.71047957373,no_trend,0.0,,0.0,0.0,-21286.5113453746,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-24,201296.54778235024,up_trend,1.0,0,,23,speculation_continuous_drop,,1.4143789712621873,-0.6767289467128816,1.0,,1,0,1.0,0,210553.2268650186,down_trend,-1.0,1.0,0.0,0.0,-9256.679082668357,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
2023-07-25,216694.29427430092,up_trend,1.0,0,,23,speculation_continuous_drop,,1.598095534571003,0.1837165633088158,0.0,,0,0,1.0,0,201523.5243597752,up_trend,1.0,2.0,-1.0,-1.0,15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-15170.769914525707,-0.0,15170.769914525707
2023-07-26,219563.98194099808,up_trend,1.0,0,,23,speculation_continuous_drop,1.0,2.025216349105437,0.4271208145344338,0.0,1.0,0,0,1.0,0,217897.3795039775,up_trend,1.0,2.0,1.0,1.0,1666.6024370205705,1666.6024370205705,1666.6024370205705,-13504.167477505136,-13504.167477505136,-0.0,13504.167477505136
2023-07-27,217538.3747103608,up_trend,1.0,0,,23,speculation_continuous_drop,2.0,1.176569968274467,-0.8486463808309699,1.0,2.0,1,0,1.0,0,224212.93941660432,up_trend,1.0,2.0,1.0,1.0,-6674.564706243516,-6674.564706243516,-6674.564706243516,-20178.732183748652,-20178.732183748652,-0.0,20178.732183748652
2023-07-28,220461.82341001357,up_trend,1.0,0,,23,speculation_continuous_drop,3.0,1.137255999052689,-0.0393139692217781,1.0,3.0,2,0,1.0,0,216775.42920556173,up_trend,1.0,2.0,1.0,1.0,3686.394204451848,3686.394204451848,3686.394204451848,-16492.337979296804,-16492.337979296804,-0.0,16492.337979296804
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,23,speculation_continuous_drop,3.0,0.8447978475536825,-0.2924581514990064,1.0,3.0,3,0,1.0,0,221490.2407221665,up_trend,1.0,2.0,1.0,1.0,-786.6386583160784,-786.6386583160784,-786.6386583160784,-17278.976637612883,-17278.976637612883,-0.0,17278.976637612883
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,23,speculation_continuous_drop,4.0,0.3455711668003232,-0.4992266807533593,1.0,4.0,4,1,0.5,1,221431.6312827727,up_trend,1.0,2.0,1.0,1.0,2.0252622643020004,2.0252622643020004,2.0252622643020004,-17276.95137534858,-17276.95137534858,-0.0,17276.95137534858
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,23,speculation_continuous_drop,5.0,0.0777876826569847,-0.2677834841433384,1.0,5.0,5,1,0.5,1,221531.3974879472,up_trend,1.0,2.0,1.0,0.5,381.8848087035294,190.9424043517647,381.8848087035294,-17086.008970996816,-16895.06656664505,-0.0,17086.008970996816
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,23,speculation_continuous_drop,4.0,0.278676766271454,0.2008890836144692,0.0,4.0,0,1,0.5,1,219951.91062587276,up_trend,1.0,2.0,1.0,0.5,3298.003114114894,1649.001557057447,3298.003114114894,-15437.00741393937,-13597.063452530158,-0.0,15437.00741393937
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,23,speculation_continuous_drop,4.0,-0.1709041956432761,-0.44958096191473,1.0,4.0,1,1,0.5,1,224539.9914795204,up_trend,1.0,2.0,1.0,0.5,-1832.145718663989,-916.0728593319946,-1832.145718663989,-16353.080273271364,-15429.209171194147,-0.0,16353.080273271364
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,23,speculation_continuous_drop,3.0,0.5882044007797698,0.7591085964230458,0.0,3.0,0,0,1.0,0,221536.71889177908,down_trend,-1.0,3.0,1.0,0.5,-7603.5574628239265,-3801.7787314119632,-7603.5574628239265,-20154.859004683327,-23032.766634018073,-0.0,20154.859004683327
2023-08-08,211639.1597789407,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.4416301173252139,-0.1465742834545558,1.0,3.0,1,0,1.0,0,213715.68585718848,down_trend,-1.0,3.0,-1.0,-1.0,-2076.5260782477853,2076.5260782477853,2076.5260782477853,-18078.33292643554,-20956.240555770288,-0.0,18078.33292643554
2023-08-09,212657.0317916213,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.2944802454904577,-0.1471498718347562,1.0,3.0,2,0,1.0,0,212008.11296035716,down_trend,-1.0,3.0,-1.0,-1.0,648.9188312641345,-648.9188312641345,-648.9188312641345,-18727.251757699676,-21605.159387034422,-0.0,18727.251757699676
2023-08-10,206395.3513174404,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.3464598352495612,0.0519795897591034,0.0,3.0,0,0,1.0,0,212438.06638306292,down_trend,-1.0,3.0,-1.0,-1.0,-6042.715065622528,6042.715065622528,6042.715065622528,-12684.536692077148,-15562.444321411895,-0.0,12684.536692077148
2023-08-11,204917.29295378117,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.7545857171442018,0.4081258818946405,0.0,2.0,0,0,1.0,0,205989.2162957437,down_trend,-1.0,3.0,-1.0,-1.0,-1071.923341962538,1071.923341962538,1071.923341962538,-11612.61335011461,-14490.520979449357,-0.0,11612.61335011461
2023-08-14,193643.2345381271,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.5485525533084864,-0.2060331638357153,1.0,3.0,1,0,1.0,0,203604.56147745124,down_trend,-1.0,3.0,-1.0,-1.0,-9961.32693932415,9961.32693932415,9961.32693932415,-1651.2864107904606,-4529.194040125207,-0.0,1651.2864107904606
2023-08-15,189680.8139697453,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.8881893576869988,0.3396368043785124,0.0,2.0,0,0,1.0,0,193145.9369895716,down_trend,-1.0,3.0,-1.0,-1.0,-3465.1230198263074,3465.1230198263074,3465.1230198263074,1813.8366090358468,-1064.0710202988994,1813.8366090358468,0.0
2023-08-16,191747.30923578836,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.8555210234584508,-0.0326683342285479,1.0,2.0,1,0,1.0,0,189012.4814493322,down_trend,-1.0,3.0,-1.0,-1.0,2734.8277864561533,-2734.8277864561533,-2734.8277864561533,-920.9911774203065,-3798.8988067550526,1813.8366090358468,2734.8277864561533
2023-08-17,189797.6065547304,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.6625747876374212,-0.1929462358210296,1.0,3.0,2,0,1.0,0,191672.6065578457,down_trend,-1.0,3.0,-1.0,-1.0,-1875.0000031153031,1875.0000031153031,1875.0000031153031,954.0088256949966,-1923.8988036397495,1813.8366090358468,859.8277833408501
2023-08-18,191523.40382269217,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.2623910774735881,-0.4001837101638331,1.0,4.0,3,1,0.5,0,190896.2310327949,down_trend,-1.0,3.0,-1.0,-1.0,627.1727898972749,-627.1727898972749,-627.1727898972749,326.8360357977217,-2551.0715935370245,1813.8366090358468,1487.000573238125
2023-08-21,197116.13041744623,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.6506022352624492,0.3882111577888611,0.0,3.0,0,0,1.0,0,193690.5635572176,down_trend,-1.0,3.0,-1.0,-0.5,3425.5668602286314,-1712.7834301143157,-3425.5668602286314,-1385.947394316594,-5976.638453765656,1813.8366090358468,3199.784003352441
2023-08-22,194571.815011419,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.5788551278390585,-0.0717471074233907,1.0,4.0,1,1,0.5,0,197312.7926191132,down_trend,-1.0,3.0,-1.0,-1.0,-2740.9776076941926,2740.9776076941926,2740.9776076941926,1355.0302133775986,-3235.6608460714633,1813.8366090358468,458.8063956582482
2023-08-23,196128.50058430465,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.2350757936929626,-0.3437793341460958,1.0,4.0,2,1,0.5,0,194557.7436274961,down_trend,-1.0,3.0,-1.0,-0.5,1570.75695680856,-785.37847840428,-1570.75695680856,569.6517349733185,-4806.417802880023,1813.8366090358468,1244.1848740625283
