date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_5_prev,price_ma_5_change,volume_ma_5,volume_ma_5_prev,volume_ma_5_change,oi_change_5,oi_change_5_rate,is_price_ma_5_up,is_volume_ma_5_up,is_oi_down_5,price_volume_oi_short_score,signal,position_scale,is_effective_signal,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,0.02,no_trend,0.0,,no_trend,,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.0904190260152219,,,,,,,,,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,-0.0904190260152219,-0.0904190260152219,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.9095809739847781,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,0.02,down_trend,-1.0,1.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.04396360588005914,,,,,,,,,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,-0.04396360588005914,-0.04396360588005914,0.865617368104719,0.865617368104719,0.9095809739847781,0.9095809739847781,-0.04833391103978257,-0.04833391103978257
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.07528039201736908,,,,,,,,,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,0.07528039201736908,0.07528039201736908,0.940897760122088,0.940897760122088,0.940897760122088,0.940897760122088,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.0076485657643723445,,,,,,,,,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,0.0076485657643723445,0.0076485657643723445,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.9485463258864604,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,-0.02976886491747775,213845.4795684418,,,70520.4,,,,,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,-0.02976886491747775,-0.02976886491747775,0.9187774609689826,0.9187774609689826,0.9485463258864604,0.9485463258864604,-0.03138367004864773,-0.03138367004864773
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down_short_5d,0.0,0.01700559061495918,215111.00442360473,,,66650.0,,,6695.0,0.8280766852195424,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,0.01700559061495918,0.01700559061495918,0.9357830515839418,0.9357830515839418,0.9485463258864604,0.9485463258864604,-0.01345561513887128,-0.01345561513887128
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,-0.003551572546723737,218992.41527990476,,,63071.0,,,2383.0,0.1816034141137021,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,-0.003551572546723737,-0.003551572546723737,0.932231479037218,0.932231479037218,0.9485463258864604,0.9485463258864604,-0.017199841909666724,-0.017199841909666724
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,9.14621932092303e-06,219940.287734052,,,52649.8,,,656.0,0.0436750998668442,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,9.14621932092303e-06,9.14621932092303e-06,0.932240625256539,0.932240625256539,0.9485463258864604,0.9485463258864604,-0.017190199555812913,-0.017190199555812913
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0,0.0017238405618070754,220410.1478051825,,,34050.8,,,1167.0,0.0804383788254756,0,0,0,0.0,0,1.0,0,1.0,0.0,1.0,0.0017238405618070754,0.0017238405618070754,0.9339644658183461,0.9339644658183461,0.9485463258864604,0.9485463258864604,-0.0153728496649721,-0.0153728496649721
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down_short_5d,0.0360399296642575,0.014994200799303957,221552.45561110787,213845.4795684418,0.0360399296642575,28542.2,70520.4,-0.5952632146159125,1125.0,0.0744786494538232,1,0,0,0.0360399296642575,0,1.0,0,1.0,0.0,1.0,0.014994200799303957,0.014994200799303957,0.94895866661765,0.94895866661765,0.94895866661765,0.94895866661765,0.0,0.0
