factor_id,factor_name,strategy,total_return,annual_return,max_drawdown,annual_volatility,sharpe,signal_days,signal_ratio
11,high_speculation,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,66,0.09924812030075188
11,high_speculation,factor_position,-0.17952213594621258,-0.0722395261146046,-0.6857619732051792,0.42521474391141734,-0.16988951382563974,66,0.09924812030075188
12,speculation_mad,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,39,0.058646616541353384
12,speculation_mad,factor_position,-0.15322877851114847,-0.06108311396040178,-0.6833271662290823,0.4449456083754217,-0.1372822044101693,39,0.058646616541353384
21,speculation_change_rate,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,61,0.09172932330827067
21,speculation_change_rate,factor_position,-0.01585164856428045,-0.006036764723377996,-0.6892315134304103,0.4316660618868756,-0.013984802736148431,61,0.09172932330827067
22,speculation_first_difference,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,64,0.0962406015037594
22,speculation_first_difference,factor_position,-0.023988942677088176,-0.009159155804641883,-0.6970030078589772,0.4330598746025426,-0.02114986019669463,64,0.0962406015037594
23,speculation_continuous_drop,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,87,0.13082706766917293
23,speculation_continuous_drop,factor_position,-0.06573048999695552,-0.025435676737567636,-0.6340657187212999,0.43046111206937937,-0.05908937189538286,87,0.13082706766917293
31,price_up_speculation_up,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,36,0.05413533834586466
31,price_up_speculation_up,factor_position,-0.35627516139416615,-0.15373287601726615,-0.7347263590126518,0.4319675977833317,-0.35588983249242734,36,0.05413533834586466
32,price_down_speculation_up,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,12,0.01804511278195489
32,price_down_speculation_up,factor_position,-0.1411457204788572,-0.05602832631930099,-0.7251576381625687,0.45160371406287125,-0.12406524697336935,12,0.01804511278195489
41,oi_change_rate,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,324,0.48721804511278194
41,oi_change_rate,factor_position,-0.16689146947473954,-0.06685298113929528,-0.569738154091705,0.32454717322583626,-0.20598848689640445,324,0.48721804511278194
42,price_up_oi_down,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,27,0.0406015037593985
42,price_up_oi_down,factor_position,-0.047784965029203263,-0.01838384483845612,-0.714654587169022,0.4326352977302917,-0.04249270675532526,27,0.0406015037593985
43,uptrend_crowded_chase,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,35,0.05263157894736842
43,uptrend_crowded_chase,factor_position,-0.3489008999708615,-0.15007215614546687,-0.7292014281059527,0.43154258194127454,-0.34775746919428935,35,0.05263157894736842
44,uptrend_range_climax,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,18,0.02706766917293233
44,uptrend_range_climax,factor_position,-0.23531157910000577,-0.0966693143756091,-0.7224485795460718,0.4451951901345449,-0.21713917067790903,18,0.02706766917293233
45,uptrend_push_failure,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,14,0.021052631578947368
45,uptrend_push_failure,factor_position,-0.2659930175714068,-0.11057887384399445,-0.7450950302801329,0.44419114378198926,-0.24894434612651123,14,0.021052631578947368
46,uptrend_oi_unwind_divergence,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,7,0.010526315789473684
46,uptrend_oi_unwind_divergence,factor_position,-0.26972415474910716,-0.11229486179101622,-0.7353891228772502,0.44793483639320314,-0.2506946382987777,7,0.010526315789473684
47,downtrend_crowded_exhaustion,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,3,0.004511278195488722
47,downtrend_crowded_exhaustion,factor_position,-0.17131986289112355,-0.06873572787664117,-0.7298356972825335,0.4524296886668427,-0.1519257679114342,3,0.004511278195488722
51,price_volume_up_oi_down,base_long_only,-0.17311806409544062,-0.06950202302716169,-0.7353891228772502,0.4526834563342975,-0.1535333842106124,40,0.06015037593984962
51,price_volume_up_oi_down,factor_position,-0.2649396380490956,-0.11009539487770259,-0.695121500121842,0.38192773419880277,-0.2882623727461364,40,0.06015037593984962
