date,open,close,high,low,volume,total_turnover,open_interest,speculation,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position,position_scale
2018-01-02,3917.31118326928,3935.989301179684,3944.1479647656174,3915.6471933122,59048.0,2294692290.0,145717.0,-0.903315712032744,12,price_up_speculation_up,,,,,,0,,,0,,,,0,1.0,1.0
2018-01-03,3940.3175974782425,3895.016572041342,3948.631727540601,3892.5993833141297,67196.0,2594582890.0,152003.0,-0.816286535545645,12,price_up_speculation_up,,-0.01040976638987856,,,,0,,,0,,,,0,1.0,1.0
2018-01-04,3899.895359657864,3887.952313912835,3903.548822259914,3860.6339553277294,64829.0,2479841590.0,149876.0,-0.8380552514419177,12,price_up_speculation_up,,-0.001813665743867321,,,,0,,,0,,,,0,1.0,1.0
2018-01-05,3888.7156204360094,3873.029756738988,3893.984273513355,3871.241328073636,40576.0,1552717600.0,152100.0,-1.3213614404504863,12,price_up_speculation_up,,-0.003838153343714512,,,,0,,,0,,,,0,1.0,1.0
2018-01-08,3866.34181607485,3797.850739578664,3886.155121584457,3795.29514700716,113466.0,4287520340.0,165094.0,-0.3750117760813744,12,price_up_speculation_up,,-0.019410906159322394,3877.9677366903024,,,0,152958.0,,0,,,,0,1.0,1.0
2018-01-09,3797.808592517056,3800.229308924485,3811.4158838184367,3795.16261198922,43229.0,1631729380.0,163875.0,-1.3325923757560751,12,price_up_speculation_up,-5.111222285971255,0.0006262935299254924,3850.815738239263,,,0,156589.6,,0,-0.8380552514419177,0.06526046059082624,-5.111222285971255,0,1.0,1.0
2018-01-10,3799.157857221187,3799.708462046998,3816.6885966252494,3782.75554566184,51490.0,1936350960.0,166390.0,-1.172946816369366,12,price_up_speculation_up,-0.8072960076851838,-0.00013705669714814128,3831.754116240394,,,0,159467.0,,0,-0.8706854817373308,0.25253745245242065,-0.8072960076851838,0,1.0,1.0
2018-01-11,3806.581727243216,3801.120774504377,3808.714679042477,3787.398806726588,35442.0,1330665940.0,164389.0,-1.534338012854685,12,price_up_speculation_up,-1.5785222998442705,0.00037168968921852397,3814.387808358703,,,0,162369.6,,0,-0.903315712032744,0.26963110433662196,-1.5785222998442705,0,1.0,1.0
2018-01-12,3798.975281157873,3800.343543616794,3813.8826832239088,3761.1406243381753,88440.0,3310382150.0,163985.0,-0.6174506042372856,12,price_up_speculation_up,1.1235767807104942,-0.00020447413636437428,3799.8505657342635,,,0,164746.6,,0,-1.038131264201055,0.25253745245242065,1.1235767807104942,0,1.0,1.0
2018-01-15,3794.343866227576,3780.729048908599,3805.243245848698,3777.2567195933498,55531.0,2082831090.0,165063.0,-1.0893857958332067,12,price_up_speculation_up,-0.43902718000810037,-0.005161242525334342,3796.4262276002505,3837.1969821452767,,0,164740.4,158849.2,1,-0.903315712032744,0.2858651077954584,-0.43902718000810037,0,1.0,1.0
2018-01-16,3775.343442841234,3749.658201788607,3794.786903106584,3748.627851999784,62722.0,2336578270.0,166610.0,-0.9769434886521264,12,price_up_speculation_up,0.05183397936222867,-0.008218215777446747,3786.3120061730747,3818.563872206169,,0,165287.4,160938.5,1,-0.9963507539329753,0.25253745245242065,0.05183397936222867,0,1.0,1.0
2018-01-17,3751.528450010511,3743.9429067084766,3763.11097230281,3737.481073012977,52828.0,1958590080.0,167743.0,-1.1553916930365238,12,price_up_speculation_up,-0.3264506532307134,-0.001524217614662704,3775.158895105371,3803.4565056728825,,0,165558.0,162512.5,1,-1.0331646422426666,0.25253745245242065,-0.3264506532307134,0,1.0,1.0
2018-01-18,3736.474846384448,3763.179022802085,3771.933066825775,3727.451394310712,50242.0,1875778040.0,166476.0,-1.197999824601802,12,price_up_speculation_up,-0.24927627274240025,0.00513792987044237,3767.5705447649125,3790.9791765618074,,0,165975.4,164172.5,1,-1.1223887444348652,0.20458816366841548,-0.24927627274240025,0,1.0,1.0
2018-01-19,3760.131580211335,3771.182426267581,3787.40670584903,3750.338506915094,56857.0,2123427360.0,168786.0,-1.088092296670499,12,price_up_speculation_up,0.3151768613456042,0.002126766602651875,3761.73832129507,3780.7944435146665,,0,166935.6,165841.1,1,-1.1641692547029447,0.16280765340033598,0.3151768613456042,0,1.0,1.0
2018-01-22,3782.681810089021,3766.020217555929,3797.252606469147,3739.3455020172846,73929.0,2751982900.0,170347.0,-0.8347323599817551,12,price_up_speculation_up,1.7554038646605956,-0.0013688568009055935,3758.7965550245353,3777.611391312393,,0,167992.4,166366.4,1,-1.1223887444348652,0.11052816797483778,1.7554038646605956,0,1.0,1.0
2018-01-23,3765.974886767799,3756.9600905796033,3778.627127681391,3751.92845889388,44264.0,1646157880.0,169133.0,-1.3405136820676302,12,price_up_speculation_up,-1.3310928565947464,-0.0024057563297430473,3760.2569327827346,3773.284469477905,,0,168497.0,166892.2,1,-1.1223887444348652,0.11052816797483778,-1.3310928565947464,0,1.0,1.0
2018-01-24,3764.331046696972,3783.405337311839,3803.273404419015,3756.484596267466,76434.0,2854655410.0,172259.0,-0.8125715348102537,12,price_up_speculation_up,1.8906388194629373,0.007039001238939413,3768.149418903407,3771.654157004389,,0,169400.2,167479.1,1,-1.1223887444348652,0.11052816797483778,1.8906388194629373,0,1.0,1.0
2018-01-25,3776.048427843842,3754.751290055058,3793.2919201144177,3743.3386637521935,69750.0,2592617930.0,173636.0,-0.9120437332977994,12,price_up_speculation_up,0.6556057564030761,-0.007573612844015365,3766.463872354002,3767.0172085594577,,0,170832.2,168403.8,1,-1.088739046251853,0.1817850967077519,0.6556057564030761,0,1.0,1.0
2018-01-26,3749.9181971395255,3750.435630748788,3766.821999100336,3736.364524334408,54214.0,2002012480.0,174602.0,-1.1695699204193617,12,price_up_speculation_up,-0.6411547677414994,-0.0011493861970832686,3762.314513250243,3762.0264172726565,,0,171995.4,169465.5,1,-1.0325178926613128,0.1441778661578501,-0.6411547677414994,0,1.0,1.0
2018-01-29,3756.255808904607,3711.0213327724296,3757.3456034005017,3697.548560001312,92627.0,3398308640.0,180661.0,-0.6680416711401992,12,price_up_speculation_up,2.567277620232846,-0.01050925861870855,3751.314736293544,3755.0556456590393,3796.1263139021585,0,174058.2,171025.3,1,-1.088739046251853,0.11052816797483778,2.567277620232846,0,1.0,1.0
2018-01-30,3715.139539265508,3719.250097025318,3726.802616313285,3705.34783813133,43986.0,1615575300.0,175212.0,-1.3821252678379228,12,price_up_speculation_up,-1.5588791700304354,0.0022173853273812494,3743.772737582686,3752.014835182711,3785.2893536944403,0,175274.0,171885.5,1,-1.0325178926613128,0.15126697984926907,-1.5588791700304354,0,1.0,1.0
2018-01-31,3719.768302287358,3718.947389725375,3726.792311555495,3686.0488308499353,70579.0,2572392940.0,175403.0,-0.9103535337275276,12,price_up_speculation_up,0.6655288852735699,-8.138933710999385e-05,3730.881148065394,3749.5152834844002,3776.4858945786414,0,175902.8,172651.5,1,-1.1217419948535112,0.2142349743849154,0.6655288852735699,0,1.0,1.0
2018-02-01,3727.292730519721,3717.5921356977647,3731.689511404357,3706.195928840232,44677.0,1642704320.0,173798.0,-1.3584348774745656,12,price_up_speculation_up,-1.3541525507969991,-0.0003644187146488731,3723.449317193935,3744.9565947739693,3767.9678856678884,0,175935.2,173383.7,1,-1.0000680149841492,0.178499192804554,-1.3541525507969991,0,1.0,1.0
2018-02-02,3721.624442185426,3720.728670708265,3727.7991186697423,3689.472826989243,55878.0,2040637800.0,175838.0,-1.146392373846709,12,price_up_speculation_up,-0.5529124607685224,0.000843700679367787,3717.5079251858306,3739.9112192180364,3760.352831366352,0,176182.4,174088.9,1,-1.0000680149841492,0.178499192804554,-0.5529124607685224,0,1.0,1.0
2018-02-05,3736.791607826166,3768.035754235275,3801.160457678015,3732.915753689869,117779.0,4378494940.0,172539.0,-0.3818133107995921,12,price_up_speculation_up,2.1242242934039712,0.012714467437370258,3728.9108094783996,3740.112772885972,3758.8620820991828,0,174558.0,174308.1,1,-1.0292180535722542,0.20556610617624976,2.1242242934039712,0,1.0,1.0
2018-02-06,3771.4485202844585,3777.800283634744,3785.29443858101,3756.0203477876,53166.0,1972760250.0,170642.0,-1.1661487003825302,12,price_up_speculation_up,-0.3498809725355112,0.00259141102588889,3740.620846800285,3742.196792191486,3757.7406308346954,0,173644.0,174459.0,0,-1.0292180535722542,0.26397107362868827,-0.3498809725355112,0,1.0,1.0
2018-02-07,3784.130637745253,3762.095033071627,3788.356218309532,3749.0870079939978,70836.0,2638802900.0,169783.0,-0.8741538050329442,12,price_up_speculation_up,0.5859376791640212,-0.004157247441362033,3749.2503754695354,3740.0657617674647,3755.8599593859267,0,172520.0,174211.4,0,-1.0292180535722542,0.178499192804554,0.5859376791640212,0,1.0,1.0
2018-02-08,3755.493261519061,3772.841737735121,3782.168345700567,3752.732745000944,51035.0,1896593100.0,168265.0,-1.1930284457415412,12,price_up_speculation_up,-0.7480200982224193,0.0028565744801827275,3760.300295877006,3741.8748065354703,3754.4460075474635,0,171413.4,173674.3,0,-1.0292180535722542,0.14770805769320877,-0.7480200982224193,0,1.0,1.0
2018-02-09,3774.6516969448458,3791.0213498408993,3815.958394753467,3767.5976220236817,73232.0,2723882390.0,161219.0,-0.7891312052205527,12,price_up_speculation_up,1.157107725015432,0.004818546170105575,3774.3588317035333,3745.9333784446817,3753.9798978586687,0,168489.6,172336.0,0,-1.1562705371146196,0.2140095355416246,1.157107725015432,0,1.0,1.0
2018-02-12,3791.72138378807,3839.5362849803137,3845.191361518701,3777.0618309327824,68932.0,2585945490.0,160769.0,-0.8468480406702606,12,price_up_speculation_up,0.606277360814704,0.01279732575007797,3788.658937852541,3758.7848736654696,3756.9202596622554,1,166135.6,170346.8,0,-1.0283729537871182,0.20194862026049426,0.606277360814704,0,1.0,1.0
2018-02-13,3850.91807658612,3857.932117733205,3869.0997598328186,3832.5536742942622,68574.0,2599971160.0,152956.0,-0.8022368441900266,12,price_up_speculation_up,0.8811978614169362,0.004791160022332042,3804.685304672233,3772.653075736259,3762.333955459485,1,162598.4,168121.2,0,-1.0283729537871182,0.17309020253564028,0.8811978614169362,0,1.0,1.0
2018-02-14,3854.273550783882,3817.072889035114,3859.863093797624,3809.129619531879,45207.0,1700907620.0,145893.0,-1.171621534206459,12,price_up_speculation_up,-1.0548643953883485,-0.010590966209664376,3815.6808758649304,3782.465625667233,3765.990454575817,1,157820.4,165170.2,0,-0.8922536693802359,0.17863058431307816,-1.0548643953883485,0,1.0,1.0
2018-02-22,3793.0538030610087,3810.959051104169,3821.791940772655,3779.094854823773,59071.0,2200994210.0,149479.0,-0.9284158044936738,12,price_up_speculation_up,0.3189780905157765,-0.0016017084579410534,3823.30433853874,3791.802317207873,3768.3794559909206,1,154063.2,162738.3,0,-1.0102730894398266,0.17309020253564028,0.3189780905157765,0,1.0,1.0
2018-02-23,3804.7356998811374,3888.035445017405,3890.175636514821,3801.613833353366,103132.0,3908981660.0,161151.0,-0.4463320925018271,12,price_up_speculation_up,1.7178547648940248,0.02022493363997291,3842.707157574041,3808.5329946387874,3774.222106928412,1,154049.6,161269.6,0,-0.901284804763309,0.17863058431307816,1.7178547648940248,0,1.0,1.0
2018-02-26,3899.275073131264,3902.533092842225,3917.721867346367,3884.193780644021,65765.0,2533973780.0,158010.0,-0.8765705402426657,12,price_up_speculation_up,-0.057497641768062394,0.003728784891454451,3855.306519146424,3821.9827284994817,3781.0477506927273,1,153497.8,159816.7,0,-0.8605009228516024,0.18850874758098873,-0.057497641768062394,0,1.0,1.0
2018-02-27,3904.999253117286,3883.083794495962,3906.912386859928,3865.876712672208,50330.0,1920430900.0,160464.0,-1.1594682975575838,12,price_up_speculation_up,-2.405012678379191,-0.004983762567429717,3860.3368544989753,3832.511079585604,3787.353935888544,1,154999.4,158798.9,0,-0.8753621726378049,0.07967814793251526,-2.405012678379191,0,1.0,1.0
2018-02-28,3878.377164374183,3882.1817859629127,3892.839514325407,3867.922410677567,44109.0,1681237820.0,158010.0,-1.275994478899778,12,price_up_speculation_up,-3.3914290872835076,-0.0002322918022855669,3873.3586338845344,3844.5197548747324,3792.2927583210985,1,157422.8,157621.6,0,-0.8753621726378049,0.07967814793251526,-3.3914290872835076,0,1.0,1.0
2018-03-01,3883.711367032188,3867.758684497748,3904.046534028008,3866.386080421177,71838.0,2771190020.0,159422.0,-0.7971411904356772,12,price_up_speculation_up,0.3837527473002043,-0.0037152050729090114,3884.7185605632503,3854.011449550995,3797.9431280432336,1,159411.4,156737.3,1,-0.9024931723681697,0.18516854616851558,0.3837527473002043,0,1.0,1.0
2018-03-02,3861.91251802169,3884.721416283507,3898.9857389612566,3858.512022817026,81612.0,3151227030.0,159855.0,-0.6722908443595274,12,price_up_speculation_up,1.834531487792656,0.004385674797589223,3884.055754816471,3863.381456195256,3804.6574173199688,1,159152.2,156600.9,1,-0.8617092904564632,0.06964229963656055,1.834531487792656,1,0.0,0.0
2018-03-05,3848.174812018086,3804.170400582856,3850.417973558168,3803.493995810729,100584.0,3787977980.0,153726.0,-0.4241785976502792,12,price_up_speculation_up,2.304425223758312,-0.020735339054946622,3864.3832163645975,3859.8448677555107,3809.3148707104906,1,158295.4,155896.6,1,-0.8617092904564632,0.12806248006707321,2.304425223758312,1,0.0,0.0
2018-03-06,3782.893705147951,3818.6230168875736,3830.374111235309,3766.784657731756,87723.0,3275922000.0,148630.0,-0.5272758734695112,12,price_up_speculation_up,0.8642736979625997,0.003799150611787372,3851.49106084292,3855.9139576709467,3814.283516703603,0,155928.6,155464.0,1,-0.8394036922163461,0.24358872659902825,0.8642736979625997,0,1.0,1.0
2018-03-07,3822.5093132643465,3795.823790471708,3833.713396538064,3791.049534183175,56192.0,2093563320.0,148715.0,-0.9732573246094368,12,price_up_speculation_up,-0.2910554456245867,-0.00597053605842679,3834.219461744679,3853.7890478146064,3818.1273367409194,0,154069.6,155746.2,0,-0.8368558653391714,0.3160962120440363,-0.2910554456245867,0,1.0,1.0
2018-03-08,3800.070089682476,3800.7331932056254,3820.84313037138,3795.998153676139,45854.0,1711431860.0,146533.0,-1.1617882231630303,12,price_up_speculation_up,-0.9244592555744876,0.001293369504201225,3820.8143634862536,3852.7664620247524,3822.2843896163126,0,151491.8,155451.6,0,-0.8368558653391714,0.23707250642465216,-0.9244592555744876,0,1.0,1.0
2018-03-09,3805.665076765609,3804.119161762399,3818.5927103228137,3767.492896454628,79281.0,2970498680.0,146641.0,-0.6149889194660324,12,price_up_speculation_up,0.4734229614986942,0.0008908724671403689,3804.6939125820327,3844.3748336992517,3826.4539141690193,0,148849.0,154000.6,0,-0.8368558653391714,0.3160962120440363,0.4734229614986942,0,1.0,1.0
2018-03-12,3785.112506247303,3729.9400695264335,3788.41753216078,3721.080826957893,100747.0,3697261570.0,152460.0,-0.4142898428516073,12,price_up_speculation_up,1.0726070928038929,-0.019499676293420642,3789.847846370748,3827.1155313676727,3824.549129933577,0,148595.8,153445.6,0,-0.8368558653391714,0.26572346887139964,1.0726070928038929,0,1.0,1.0
2018-03-13,3740.021079782394,3741.036867057352,3750.533746288994,3730.818627129966,41178.0,1515575020.0,151870.0,-1.305120758587626,12,price_up_speculation_up,-1.4013754611257503,0.0029750605436209554,3774.3306164047035,3812.9108386238113,3822.7109591047074,0,149243.8,152586.2,0,-0.7347160173976023,0.2745393634795788,-1.4013754611257503,0,1.0,1.0
2018-03-14,3743.356317142293,3765.324877726372,3767.870304031725,3737.458169116194,48395.0,1786568680.0,151300.0,-1.1398681181932584,12,price_up_speculation_up,-0.9953812987144033,0.006492320587079492,3768.230833855637,3801.2251478001576,3822.872451337445,0,149760.8,151915.2,0,-0.7347160173976023,0.2745393634795788,-0.9953812987144033,0,1.0,1.0
