date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,daily_return,price_ma_5,price_ma_10,price_ma_20,is_ma_bullish,open_interest,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,speculation,speculation_median_past,speculation_mad_past,speculation_mad_score,signal,position_scale,is_effective_signal
2023-07-21,214134.19913419912,no_trend,,0,,31,price_up_speculation_up,,,,,,0,8085.0,,,0,2.091107917975069,,,,0,1.0,0
2023-07-24,201296.54778235024,up_trend,1.0,0,,31,price_up_speculation_up,,-0.05995142954163735,,,,0,13122.0,,,0,1.4143789712621873,,,,0,1.0,0
2023-07-25,216694.29427430092,up_trend,1.0,0,,31,price_up_speculation_up,,0.07649284928919564,,,,0,15020.0,,,0,1.598095534571003,,,,0,1.0,0
2023-07-26,219563.98194099808,up_trend,1.0,0,,31,price_up_speculation_up,,0.013243023662933062,,,,0,14508.0,,,0,2.025216349105437,,,,0,1.0,0
2023-07-27,217538.3747103608,up_trend,1.0,0,,31,price_up_speculation_up,,-0.00922558979269017,213845.4795684418,,,0,15105.0,13168.0,,0,1.176569968274467,,,,0,1.0,0
2023-07-28,220461.82341001357,up_trend,1.0,0,,31,price_up_speculation_up,-0.737397759853614,0.013438772370829577,215111.00442360473,,,0,14780.0,14507.0,,0,1.137255999052689,1.598095534571003,0.42152556629653604,-0.737397759853614,0,1.0,0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,31,price_up_speculation_up,-1.277136477875173,0.0010966917087824601,218992.41527990476,,,0,15505.0,14983.6,,0,0.8447978475536825,1.5062372529165953,0.3493242692530173,-1.277136477875173,0,1.0,0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,31,price_up_speculation_up,-2.60137577919472,0.0033078503221499744,219940.287734052,,,0,15676.0,15114.8,,0,0.3455711668003232,1.4143789712621873,0.27712297220949833,-2.60137577919472,0,1.0,0
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,31,price_up_speculation_up,-2.1805947369727927,0.002166002039153403,220410.1478051825,,,0,15675.0,15348.2,,0,0.0777876826569847,1.2954744697683271,0.3766488435086603,-2.1805947369727927,0,1.0,0
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,31,price_up_speculation_up,-1.4367353161228456,0.006023215147393124,221552.45561110787,217698.96758977487,,0,16230.0,15573.2,14370.6,1,0.278676766271454,1.176569968274467,0.42152556629653604,-1.4367353161228456,0,1.0,0
