date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,ret_3,ret_5,realtime_trend_age,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,close_location,volume_to_open_interest,price_efficiency_5,price_efficiency_low_rank_20,push_failure_score,signal,position_scale,is_effective_signal
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,0.02,no_trend,0.0,,no_trend,,0,,,0,0,45,uptrend_push_failure,0.9724391334298464,,,0,,,,,0.027560866570153535,8.093877551020409,,,0.9724391334298464,0,1.0,0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,0.02,down_trend,-1.0,1.0,up_trend,1.0,0,,,0,0,45,uptrend_push_failure,0.9349247258394845,,,1,,,,,0.06507527416051549,4.113930803231215,,,0.9349247258394845,0,1.0,0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,45,uptrend_push_failure,0.030940094172908772,,,1,,,,,0.9690599058270912,4.943608521970706,,,0.030940094172908772,0,1.0,0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,45,uptrend_push_failure,0.7700268546374986,0.02535691556394548,,2,,,0.5846897283915844,,0.22997314536250135,7.577750206782465,,,0.7700268546374986,0,1.0,0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,45,uptrend_push_failure,0.8375075348261823,0.0806860679278607,,3,,,0.14073560391594953,,0.16249246517381766,3.243230718305197,,,0.8375075348261823,0,1.0,0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,45,uptrend_push_failure,0.48038471088936197,0.01738637903840501,0.029549807090127223,4,,,-0.016107730815932086,-1.2287294066127663,0.6749565806829857,3.118200270635995,0.009476558439301327,,0.48038471088936197,0,1.0,0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,45,uptrend_push_failure,1.65157734565283,0.005190378279614993,0.09641026880641701,5,,,0.06646233113175626,-1.6183708053515413,0.03177772795228431,2.32750725572396,0.04142211310805519,,1.65157734565283,0,1.0,0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,45,uptrend_push_failure,1.1921997235318962,0.017906182483263144,0.021871190871028512,6,,,0.037105065498748147,-3.1226370886053787,0.7203557489268073,1.412796631793825,0.015480777897423711,,1.1921997235318962,0,1.0,0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,45,uptrend_push_failure,2.235099070007243,0.006583719866716908,0.010699844003940306,7,1.0,,0.05879217099892742,-2.5165486962316828,0.2798169386423046,1.0808931419457735,0.009899076595748351,,2.235099070007243,0,1.0,0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,45,uptrend_push_failure,1.8294745588829153,0.011537245664892115,0.02625531719280061,8,1.0,,0.04569882897408739,-1.8229834397189315,0.9239140964445453,1.3213801601971658,0.019869616620309328,,1.8294745588829153,0,1.0,0
