date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,daily_return,ret_5,close_rank_20,close_rank_60,price_ma_5,price_ma_10,price_ma_20,is_price_ma_bullish,open_interest_ma_5,open_interest_ma_10,is_open_interest_ma_bullish,oi_change_5,oi_change_5_rate,oi_change_5_rate_median_past,oi_change_5_rate_mad_past,oi_change_5_rate_mad_score,oi_change_5_rate_mad_abs_score,log_volume,log_volume_median_past,log_volume_mad_past,volume_mad_score,price_volume_oi_score,signal,position,position_scale,is_effective_signal
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,0.02,no_trend,0.0,,no_trend,,0,,,0,0,51,price_volume_up_oi_down,0.0,,,,,,,,0,,,0,,,,,,,11.088873689986276,,,,0.0,0,1.0,1.0,0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,0.02,down_trend,-1.0,1.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down,0.0,-0.05995142954163735,,,,,,,0,,,0,,,,,,,10.89642446116701,,,,0.0,0,1.0,1.0,0
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down,0.0,0.07649284928919564,,,,,,,0,,,0,,,,,,,11.215233459889129,,,,0.0,0,1.0,1.0,0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down,0.0,0.013243023662933062,,,,,,,0,,,0,,,,,,,11.60767184950823,,,,0.0,0,1.0,1.0,0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down,0.0,-0.00922558979269017,,,,213845.4795684418,,,0,13168.0,,0,,,,,,,10.799351062095239,,,,0.0,0,1.0,1.0,0
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,51,price_volume_up_oi_down,0.029549807090127223,0.013438772370829577,0.029549807090127223,,,215111.00442360473,,,0,14507.0,,0,6695.0,0.8280766852195424,,,,,10.738286193554881,11.088873689986276,0.19244922881926563,-1.2287294066127663,0.029549807090127223,0,1.0,1.0,0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,0.09641026880641701,0.0010966917087824601,0.09641026880641701,,,218992.41527990476,,,0,14983.6,,0,2383.0,0.18160341411370218,,,,,10.493715679088233,10.992649075576644,0.20794119889694507,-1.6183708053515413,0.09641026880641701,0,1.0,1.0,0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,0.021871190871028512,0.0033078503221499744,0.021871190871028512,,,219940.287734052,,,0,15114.8,,0,656.0,0.04367509986684421,,,,,10.005457326119846,10.89642446116701,0.19244922881926563,-3.1226370886053787,0.021871190871028512,0,1.0,1.0,0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,1.0106998440039403,0.002166002039153403,0.010699844003940306,1.0,,220410.1478051825,,,0,15348.2,,0,1167.0,0.0804383788254756,,,,,9.737610048158107,10.847887761631124,0.2975790054490215,-2.5165486962316828,1.0106998440039403,0,1.0,1.0,0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,2.026255317192801,0.006023215147393124,0.02625531719280061,1.0,,221552.45561110787,217698.96758977487,,0,15573.2,14370.6,1,1125.0,0.07447864945382324,,,,,9.97329342678009,10.799351062095239,0.3056353830070062,-1.8229834397189315,2.026255317192801,0,1.0,1.0,0
2023-08-04,224539.9914795204,222707.8457608564,226063.2341306068,222392.58829134653,13859.0,3167882600.0,16442.0,-0.1709041956432761,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,2.4974869074624495,-0.0024280769925070222,0.010187806288192158,0.9,,222001.66008127644,218556.33225244057,,0,15905.6,15206.3,1,1662.0,0.11244925575101489,0.0804383788254756,0.036763278958631386,0.587299101174257,0.587299101174257,9.536690120068803,10.768818627825059,0.3832349471126433,-2.1685373404204373,2.4974869074624495,0,1.0,1.0,0
2023-08-07,221536.71889177908,213933.16142895515,222592.38278895983,213691.6035455278,33521.0,7419631950.0,18615.0,0.5882044007797698,0.02,down_trend,-1.0,3.0,down_trend,2.0,1,1.0,up_trend,1,0,51,price_volume_up_oi_down,2.970624071207273,-0.03939997848716792,-0.03067662046103148,0.09090909090909091,,220647.57195429737,219819.99361710105,,0,16527.6,15755.6,1,3110.0,0.20058045791680104,0.09644381728824525,0.03736694262791153,1.8797149802981818,1.8797149802981818,10.419927387086586,10.616000936321557,0.6048880668846417,-0.2186351564476156,2.970624071207273,0,1.0,1.0,0
2023-08-08,213715.68585718848,211639.1597789407,215440.4469625433,211233.17535545025,31800.0,6910652350.0,20447.0,0.4416301173252139,0.02,down_trend,-1.0,3.0,down_trend,2.0,0,,,0,0,51,price_volume_up_oi_down,2.9653729094039205,-0.010722982985395091,-0.044232195407495456,0.08333333333333333,,218688.6726010781,219314.48016756502,,0,17481.8,16298.3,1,4771.0,0.304350599642766,0.11244925575101489,0.06877415588417068,1.882039576070587,1.882039576070587,10.367221568768269,10.45682153308741,0.4674461566374424,-0.12928622286112873,2.9653729094039205,0,1.0,1.0,0
